agent,seq,tool,ts,tokens_in,tokens_out,cost_usd,cost_kind,duration_ms,model,success
main,2,todo,2026-06-28T19:40:58.110729+00:00,21330,353,0.085171,llm,0,anthropic/claude-sonnet-4-6,True
main,4,todo,2026-06-28T19:41:02.326122+00:00,22122,312,0.013857,llm,0,anthropic/claude-sonnet-4-6,True
main,6,file_ops,2026-06-28T19:41:04.959330+00:00,22893,106,0.013080,llm,1,anthropic/claude-sonnet-4-6,True
main,8,service_search,2026-06-28T19:41:05.018110+00:00,22893,106,0.013080,llm,57,anthropic/claude-sonnet-4-6,True
main,10,file_ops,2026-06-28T19:41:07.753674+00:00,23343,93,0.014235,llm,378,anthropic/claude-sonnet-4-6,True
main,12,file_ops,2026-06-28T19:41:12.914151+00:00,47142,123,0.086082,llm,104,anthropic/claude-sonnet-4-6,True
main,14,todo,2026-06-28T19:44:52.117951+00:00,53816,13365,0.304734,llm,5,anthropic/claude-sonnet-4-6,True
main,16,task,2026-06-28T19:49:20.917345+00:00,54806,16384,0.352989,llm,1,anthropic/claude-sonnet-4-6,False
main/compute,2,service_detail,2026-06-28T19:54:13.731324+00:00,28296,148,0.010828,llm,48,anthropic/claude-sonnet-4-6,True
main/compute,4,file_ops,2026-06-28T19:58:05.925999+00:00,28783,16384,0.255829,llm,6,anthropic/claude-sonnet-4-6,False
main/compute,6,file_ops,2026-06-28T19:59:46.174562+00:00,28996,7512,0.123388,llm,5,anthropic/claude-sonnet-4-6,True
main/compute,8,compute_run,2026-06-28T20:00:59.168237+00:00,36511,326,0.038143,llm,66368,anthropic/claude-sonnet-4-6,True
main/compute,10,compute_cluster,2026-06-28T20:02:21.119940+00:00,37266,103,0.037063,llm,79063,anthropic/claude-sonnet-4-6,True
main/compute,12,compute_exec,2026-06-28T20:02:42.200295+00:00,37583,154,0.038779,llm,17468,anthropic/claude-sonnet-4-6,True
main/compute,14,compute_cluster,2026-06-28T20:03:19.244210+00:00,37924,124,0.039352,llm,34473,anthropic/claude-sonnet-4-6,True
main/compute,16,compute_cluster,2026-06-28T20:03:47.372455+00:00,38125,122,0.039925,llm,25454,anthropic/claude-sonnet-4-6,True
main/compute,18,compute_exec,2026-06-28T20:04:12.784069+00:00,38833,212,0.043399,llm,20549,anthropic/claude-sonnet-4-6,True
main/compute,20,compute_cluster,2026-06-28T20:05:06.747462+00:00,39163,124,0.043069,llm,51296,anthropic/claude-sonnet-4-6,True
main/compute,22,compute_exec,2026-06-28T20:05:53.917103+00:00,39364,621,0.051127,llm,34919,anthropic/claude-sonnet-4-6,True
main/compute,24,compute_cluster,2026-06-28T20:06:41.562765+00:00,40172,124,0.046096,llm,44878,anthropic/claude-sonnet-4-6,True
main/compute,26,compute_cluster,2026-06-28T20:07:14.629291+00:00,40373,122,0.046669,llm,26792,anthropic/claude-sonnet-4-6,True
main/compute,28,compute_exec,2026-06-28T20:08:09.268666+00:00,41006,2218,0.080008,llm,18486,anthropic/claude-sonnet-4-6,True
main/compute,30,compute_cluster,2026-06-28T20:09:04.148724+00:00,42018,124,0.051634,llm,51303,anthropic/claude-sonnet-4-6,True
main/compute,32,compute_cluster,2026-06-28T20:09:22.241991+00:00,42219,122,0.052207,llm,15314,anthropic/claude-sonnet-4-6,True
main/compute,34,file_ops,2026-06-28T20:12:33.637445+00:00,43144,12241,0.236767,llm,13,anthropic/claude-sonnet-4-6,True
main/compute,36,compute_exec,2026-06-28T20:12:38.896608+00:00,50138,174,0.076744,llm,3,anthropic/claude-sonnet-4-6,False
main/compute,38,compute_exec,2026-06-28T20:13:24.605002+00:00,50459,325,0.079972,llm,39005,anthropic/claude-sonnet-4-6,True
main/compute,40,monitor,2026-06-28T20:13:27.997960+00:00,50795,132,0.078085,llm,8,anthropic/claude-sonnet-4-6,True
main/compute,42,compute_cluster,2026-06-28T20:18:38.279611+00:00,51167,223,0.080566,llm,304709,anthropic/claude-sonnet-4-6,True
main/compute,44,monitor_stop,2026-06-28T20:20:20.834336+00:00,52427,5945,0.267645,llm,5,anthropic/claude-sonnet-4-6,True
main/compute,46,materialize_workspace,2026-06-28T20:42:14.197473+00:00,52725,1203,0.197409,llm,5422,anthropic/claude-sonnet-4-6,True
main/compute,48,file_ops,2026-06-28T20:42:16.859028+00:00,53570,78,0.085600,llm,4,anthropic/claude-sonnet-4-6,True
main/compute,50,compute_cluster,2026-06-28T20:43:06.220377+00:00,56413,1640,0.117559,llm,16707,anthropic/claude-sonnet-4-6,True
main,30,task,2026-06-28T20:43:40.497869+00:00,55191,1484,0.130644,llm,1966186,anthropic/claude-sonnet-4-6,True
main,32,materialize_workspace,2026-06-28T20:47:02.906056+00:00,58183,12207,0.373540,llm,2200,anthropic/claude-sonnet-4-6,True
main,34,materialize_workspace,2026-06-28T20:47:13.394022+00:00,58873,84,0.120690,llm,4813,anthropic/claude-sonnet-4-6,True
