agent,seq,tool,ts,tokens_in,tokens_out,cost_usd,cost_kind,duration_ms,model,success
main,2,file_ops,2026-06-08T20:09:12.777034+00:00,21331,108,0.081500,llm,0,anthropic/claude-sonnet-4-6,True
main,4,file_ops,2026-06-08T20:09:16.253137+00:00,21423,93,0.008637,llm,380,anthropic/claude-sonnet-4-6,True
main,6,file_ops,2026-06-08T20:09:22.247091+00:00,45223,130,0.080592,llm,109,anthropic/claude-sonnet-4-6,True
main,8,service_search,2026-06-08T20:10:33.455551+00:00,51898,3914,0.156956,llm,41,anthropic/claude-sonnet-4-6,True
main,10,todo,2026-06-08T20:10:33.456364+00:00,51898,3914,0.156956,llm,0,anthropic/claude-sonnet-4-6,True
main,12,service_search,2026-06-08T20:10:38.148544+00:00,53061,93,0.120180,llm,52,anthropic/claude-sonnet-4-6,True
main,14,service_search,2026-06-08T20:10:38.177984+00:00,53061,93,0.120180,llm,28,anthropic/claude-sonnet-4-6,True
main,16,todo,2026-06-08T20:11:47.264879+00:00,53550,4074,0.104203,llm,1,anthropic/claude-sonnet-4-6,True
main/compute,2,service_search,2026-06-08T20:14:18.031533+00:00,31124,482,0.123944,llm,63,anthropic/claude-sonnet-4-6,True
main/compute,4,todo,2026-06-08T20:14:18.033210+00:00,31124,482,0.123944,llm,1,anthropic/claude-sonnet-4-6,True
main/compute,6,compute_run,2026-06-08T20:15:38.293898+00:00,32259,843,0.025393,llm,66539,anthropic/claude-sonnet-4-6,True
main/compute,8,compute_cluster,2026-06-08T20:16:29.320818+00:00,33523,101,0.018937,llm,47827,anthropic/claude-sonnet-4-6,True
main/compute,10,compute_exec,2026-06-08T20:16:55.624882+00:00,33839,622,0.027700,llm,19596,anthropic/claude-sonnet-4-6,True
main/compute,12,compute_cluster,2026-06-08T20:17:22.799115+00:00,34640,122,0.016766,llm,24806,anthropic/claude-sonnet-4-6,True
main/compute,14,compute_cluster,2026-06-08T20:17:39.994261+00:00,34837,120,0.016506,llm,14649,anthropic/claude-sonnet-4-6,True
main/compute,16,compute_exec,2026-06-08T20:18:22.990531+00:00,35602,1942,0.045266,llm,12422,anthropic/claude-sonnet-4-6,True
main/compute,18,compute_cluster,2026-06-08T20:18:53.975961+00:00,36850,122,0.019093,llm,28119,anthropic/claude-sonnet-4-6,True
main/compute,20,compute_cluster,2026-06-08T20:19:10.846480+00:00,37047,120,0.017147,llm,14417,anthropic/claude-sonnet-4-6,True
main/compute,22,compute_exec,2026-06-08T20:20:05.502782+00:00,38590,2065,0.047959,llm,18529,anthropic/claude-sonnet-4-6,True
main/compute,24,compute_cluster,2026-06-08T20:20:36.837270+00:00,40208,122,0.023200,llm,28656,anthropic/claude-sonnet-4-6,True
main/compute,26,compute_cluster,2026-06-08T20:20:46.989072+00:00,40405,120,0.019871,llm,7681,anthropic/claude-sonnet-4-6,True
main/compute,28,file_ops,2026-06-08T20:22:26.837798+00:00,41957,6816,0.120258,llm,8,anthropic/claude-sonnet-4-6,True
main/compute,30,compute_exec,2026-06-08T20:22:51.062318+00:00,48482,151,0.039391,llm,20611,anthropic/claude-sonnet-4-6,True
main/compute,32,monitor,2026-06-08T20:22:55.542764+00:00,48812,159,0.035862,llm,24,anthropic/claude-sonnet-4-6,True
main/compute,34,compute_cluster,2026-06-08T20:23:20.479308+00:00,49214,270,0.021014,llm,18914,anthropic/claude-sonnet-4-6,True
main/compute,36,compute_cluster,2026-06-08T20:23:39.560718+00:00,49530,219,0.021344,llm,14332,anthropic/claude-sonnet-4-6,True
main/compute,38,bash,2026-06-08T20:24:02.725167+00:00,50054,1200,0.035578,llm,115,anthropic/claude-sonnet-4-6,True
main/compute,40,compute_exec,2026-06-08T20:24:05.315106+00:00,50231,159,0.019891,llm,5,anthropic/claude-sonnet-4-6,False
main/compute,42,compute_exec,2026-06-08T20:25:31.037956+00:00,50538,4412,0.083964,llm,18720,anthropic/claude-sonnet-4-6,True
main/compute,44,compute_cluster,2026-06-08T20:26:03.812913+00:00,54891,122,0.031047,llm,27954,anthropic/claude-sonnet-4-6,True
main/compute,46,compute_exec,2026-06-08T20:26:26.600692+00:00,55088,145,0.031280,llm,19425,anthropic/claude-sonnet-4-6,True
main/compute,48,monitor,2026-06-08T20:26:30.418835+00:00,55412,164,0.021199,llm,21,anthropic/claude-sonnet-4-6,True
main/compute,50,compute_cluster,2026-06-08T20:31:52.220956+00:00,55988,237,0.023471,llm,317222,anthropic/claude-sonnet-4-6,True
main/compute,52,monitor_stop,2026-06-08T20:31:57.207033+00:00,56969,233,0.197743,llm,4,anthropic/claude-sonnet-4-6,True
main/compute,54,compute_cluster,2026-06-08T20:32:11.592008+00:00,56969,233,0.197743,llm,14384,anthropic/claude-sonnet-4-6,True
main/compute,56,compute_exec,2026-06-08T20:40:51.122436+00:00,69091,12571,0.253930,llm,19222,anthropic/claude-sonnet-4-6,True
main/compute,58,compute_cluster,2026-06-08T20:41:14.152839+00:00,72195,155,0.034700,llm,19195,anthropic/claude-sonnet-4-6,True
main/compute,60,compute_cluster,2026-06-08T20:41:30.285637+00:00,73468,152,0.028720,llm,13333,anthropic/claude-sonnet-4-6,True
main/compute,62,compute_exec,2026-06-08T20:45:02.546211+00:00,75241,11533,0.201692,llm,18718,anthropic/claude-sonnet-4-6,True
main/compute,64,compute_cluster,2026-06-08T20:45:35.895754+00:00,80998,202,0.047199,llm,28499,anthropic/claude-sonnet-4-6,True
main/compute,66,compute_exec,2026-06-08T20:45:48.104217+00:00,82255,184,0.030838,llm,8306,anthropic/claude-sonnet-4-6,True
main/compute,68,compute_cluster,2026-06-08T20:52:24.723929+00:00,83169,188,0.034595,llm,392602,anthropic/claude-sonnet-4-6,True
