agent,seq,tool,ts,tokens_in,tokens_out,cost_usd,cost_kind,duration_ms,model,success
main,2,file_ops,2026-06-09T01:51:09.618638+00:00,21331,108,0.081500,llm,0,anthropic/claude-sonnet-4-6,True
main,4,file_ops,2026-06-09T01:51:12.043321+00:00,21423,93,0.008637,llm,383,anthropic/claude-sonnet-4-6,True
main,6,file_ops,2026-06-09T01:51:22.343794+00:00,45223,125,0.080517,llm,91,anthropic/claude-sonnet-4-6,True
main,8,service_search,2026-06-09T01:53:23.194987+00:00,51898,7003,0.203291,llm,31,anthropic/claude-sonnet-4-6,True
main,10,todo,2026-06-09T01:53:23.195917+00:00,51898,7003,0.203291,llm,0,anthropic/claude-sonnet-4-6,True
main,12,service_search,2026-06-09T01:53:28.285386+00:00,53503,133,0.122106,llm,33,anthropic/claude-sonnet-4-6,True
main,14,service_search,2026-06-09T01:53:28.315722+00:00,53503,133,0.122106,llm,29,anthropic/claude-sonnet-4-6,True
main,16,service_detail,2026-06-09T01:56:44.994114+00:00,53992,10959,0.208823,llm,0,anthropic/claude-sonnet-4-6,False
main,18,todo,2026-06-09T01:59:25.539529+00:00,54154,9082,0.157639,llm,0,anthropic/claude-sonnet-4-6,True
main,20,todo,2026-06-09T02:01:02.515462+00:00,55014,5670,0.105720,llm,1,anthropic/claude-sonnet-4-6,True
main/compute,2,service_detail,2026-06-09T02:01:50.138899+00:00,28694,430,0.114051,llm,0,anthropic/claude-sonnet-4-6,False
main/compute,4,todo,2026-06-09T02:01:50.141691+00:00,28694,430,0.114051,llm,1,anthropic/claude-sonnet-4-6,True
main/compute,6,service_search,2026-06-09T02:01:53.387503+00:00,29539,162,0.013579,llm,35,anthropic/claude-sonnet-4-6,True
main/compute,8,web,2026-06-09T02:01:54.062526+00:00,29539,162,0.013579,llm,674,anthropic/claude-sonnet-4-6,True
main/compute,10,web,2026-06-09T02:02:05.181339+00:00,30780,146,0.017731,llm,7504,anthropic/claude-sonnet-4-6,True
main/compute,12,compute_run,2026-06-09T02:10:24.819170+00:00,32095,10186,0.169922,llm,66405,anthropic/claude-sonnet-4-6,True
main/compute,14,compute_cluster,2026-06-09T02:11:04.837764+00:00,33067,100,0.018582,llm,37054,anthropic/claude-sonnet-4-6,True
main/compute,16,compute_exec,2026-06-09T02:11:17.655087+00:00,33381,196,0.016332,llm,9409,anthropic/claude-sonnet-4-6,True
main/compute,18,compute_cluster,2026-06-09T02:11:41.655809+00:00,33752,121,0.015297,llm,21455,anthropic/claude-sonnet-4-6,True
main/compute,20,compute_cluster,2026-06-09T02:11:56.495908+00:00,33947,100,0.014446,llm,12399,anthropic/claude-sonnet-4-6,True
main/compute,22,file_ops,2026-06-09T02:43:37.137699+00:00,34983,16384,0.256374,llm,11,anthropic/claude-sonnet-4-6,False
main/compute,24,file_ops,2026-06-09T02:45:15.517405+00:00,35207,6932,0.115155,llm,8,anthropic/claude-sonnet-4-6,True
main/compute,26,compute_exec,2026-06-09T02:45:40.303687+00:00,42130,165,0.034333,llm,21050,anthropic/claude-sonnet-4-6,True
main/compute,28,monitor,2026-06-09T02:45:44.165769+00:00,42470,152,0.040193,llm,24,anthropic/claude-sonnet-4-6,True
main/compute,30,compute_cluster,2026-06-09T02:46:12.476445+00:00,42855,150,0.041082,llm,25418,anthropic/claude-sonnet-4-6,True
main/compute,32,monitor_stop,2026-06-09T02:46:24.631340+00:00,43207,638,0.025812,llm,3,anthropic/claude-sonnet-4-6,True
main/compute,34,bash,2026-06-09T02:46:30.046161+00:00,43347,78,0.015856,llm,54,anthropic/claude-sonnet-4-6,True
main/compute,36,bash,2026-06-09T02:46:35.149924+00:00,43463,196,0.017238,llm,65,anthropic/claude-sonnet-4-6,True
main/compute,38,compute_exec,2026-06-09T02:46:58.170429+00:00,43673,129,0.016127,llm,20466,anthropic/claude-sonnet-4-6,True
main/compute,40,monitor,2026-06-09T02:47:01.217234+00:00,43977,161,0.017475,llm,14,anthropic/claude-sonnet-4-6,True
main/compute,42,monitor_stop,2026-06-09T02:47:04.128788+00:00,44546,119,0.017651,llm,7,anthropic/claude-sonnet-4-6,True
main/compute,44,compute_cluster,2026-06-09T02:47:30.217647+00:00,44765,170,0.019280,llm,22976,anthropic/claude-sonnet-4-6,True
main/compute,46,compute_cluster,2026-06-09T02:47:45.807653+00:00,44977,119,0.017297,llm,12397,anthropic/claude-sonnet-4-6,True
main/compute,48,file_ops,2026-06-09T02:48:15.478067+00:00,46254,1944,0.047444,llm,6,anthropic/claude-sonnet-4-6,True
main/compute,50,file_ops,2026-06-09T02:48:19.336023+00:00,47932,107,0.024308,llm,5,anthropic/claude-sonnet-4-6,True
main/compute,52,file_ops,2026-06-09T02:48:22.002273+00:00,51932,123,0.033060,llm,5,anthropic/claude-sonnet-4-6,True
main/compute,54,file_ops,2026-06-09T02:49:28.386409+00:00,55949,5255,0.117485,llm,6,anthropic/claude-sonnet-4-6,True
main/compute,56,compute_exec,2026-06-09T02:49:50.493660+00:00,61165,129,0.058737,llm,18766,anthropic/claude-sonnet-4-6,True
main/compute,58,compute_cluster,2026-06-09T02:54:38.054310+00:00,61469,122,0.049068,llm,284658,anthropic/claude-sonnet-4-6,True
main/compute,60,compute_cluster,2026-06-09T02:54:55.587660+00:00,61665,119,0.021855,llm,13437,anthropic/claude-sonnet-4-6,True
main/compute,62,file_ops,2026-06-09T02:58:02.112961+00:00,67382,12512,0.225003,llm,6,anthropic/claude-sonnet-4-6,True
main/compute,64,compute_exec,2026-06-09T02:58:24.937545+00:00,74155,129,0.058673,llm,18512,anthropic/claude-sonnet-4-6,True
main/compute,66,compute_cluster,2026-06-09T03:10:16.214094+00:00,74459,122,0.063182,llm,708393,anthropic/claude-sonnet-4-6,True
main/compute,68,compute_cluster,2026-06-09T03:10:32.366502+00:00,74655,119,0.247269,llm,12393,anthropic/claude-sonnet-4-6,True
main/compute,70,materialize_workspace,2026-06-09T03:10:48.472196+00:00,80319,803,0.209950,llm,864,anthropic/claude-sonnet-4-6,True
main/compute,72,bash,2026-06-09T03:10:57.302129+00:00,80792,237,0.045131,llm,5295,anthropic/claude-sonnet-4-6,True
main/compute,74,file_ops,2026-06-09T03:10:59.709575+00:00,81692,85,0.049150,llm,5,anthropic/claude-sonnet-4-6,True
main/compute,76,compute_cluster,2026-06-09T03:11:24.325979+00:00,83830,79,0.035511,llm,16514,anthropic/claude-sonnet-4-6,True
