agent,seq,tool,ts,tokens_in,tokens_out,cost_usd,cost_kind,duration_ms,model,success
main,2,todo,2026-06-30T05:38:37.648263+00:00,17463,590,0.052507,llm,0,openai/gpt-5.4,True
main,4,file_ops,2026-06-30T05:38:37.649395+00:00,17463,590,0.052507,llm,0,openai/gpt-5.4,True
main,6,search,2026-06-30T05:38:37.671220+00:00,17463,590,0.052507,llm,21,openai/gpt-5.4,True
main,8,file_ops,2026-06-30T05:38:41.882317+00:00,19592,200,0.051980,llm,0,openai/gpt-5.4,True
main,10,search,2026-06-30T05:38:41.932965+00:00,19592,200,0.051980,llm,49,openai/gpt-5.4,True
main,12,service_search,2026-06-30T05:38:41.983590+00:00,19592,200,0.051980,llm,49,openai/gpt-5.4,True
main,14,todo,2026-06-30T05:38:47.755182+00:00,20918,391,0.014384,llm,2,openai/gpt-5.4,True
main,16,file_ops,2026-06-30T05:38:47.757624+00:00,20918,391,0.014384,llm,1,openai/gpt-5.4,False
main,18,file_ops,2026-06-30T05:38:47.758361+00:00,20918,391,0.014384,llm,0,openai/gpt-5.4,False
main,20,bash,2026-06-30T05:38:54.527608+00:00,21587,731,0.018853,llm,55,openai/gpt-5.4,True
main,22,search,2026-06-30T05:38:55.128131+00:00,21587,731,0.018853,llm,599,openai/gpt-5.4,True
main,24,search,2026-06-30T05:38:55.320698+00:00,21587,731,0.018853,llm,192,openai/gpt-5.4,True
main,26,todo,2026-06-30T05:38:55.321850+00:00,21587,731,0.018853,llm,0,openai/gpt-5.4,True
main,28,file_ops,2026-06-30T05:39:02.470968+00:00,24082,457,0.018676,llm,0,openai/gpt-5.4,False
main,30,file_ops,2026-06-30T05:39:02.471974+00:00,24082,457,0.018676,llm,0,openai/gpt-5.4,False
main/research,2,file_ops,2026-06-30T05:39:06.031113+00:00,5829,125,0.023573,llm,400,anthropic/claude-sonnet-4-6,True
main/research,4,file_ops,2026-06-30T05:39:12.651876+00:00,29634,139,0.075827,llm,124,anthropic/claude-sonnet-4-6,True
main,34,task,2026-06-30T05:40:39.031671+00:00,24082,457,0.018676,llm,96561,openai/gpt-5.4,True
main/debug,2,bash,2026-06-30T05:40:50.886675+00:00,6068,183,0.025424,llm,54,anthropic/claude-sonnet-4-6,True
main/debug,4,file_ops,2026-06-30T05:40:50.891166+00:00,6068,183,0.025424,llm,4,anthropic/claude-sonnet-4-6,True
main/debug,6,bash,2026-06-30T05:40:55.182715+00:00,6685,92,0.005327,llm,57,anthropic/claude-sonnet-4-6,True
main/debug,8,bash,2026-06-30T05:40:58.319011+00:00,7873,172,0.010091,llm,52,anthropic/claude-sonnet-4-6,True
main/debug,10,bash,2026-06-30T05:41:01.252128+00:00,8441,176,0.011855,llm,54,anthropic/claude-sonnet-4-6,True
main/debug,12,bash,2026-06-30T05:41:03.967049+00:00,8917,180,0.013343,llm,57,anthropic/claude-sonnet-4-6,True
main/debug,14,bash,2026-06-30T05:41:24.747642+00:00,9325,1652,0.036647,llm,111,anthropic/claude-sonnet-4-6,True
main/debug,16,bash,2026-06-30T05:41:30.842383+00:00,10149,358,0.019709,llm,109,anthropic/claude-sonnet-4-6,True
main,38,task,2026-06-30T05:41:44.394347+00:00,26011,707,0.075633,llm,57509,openai/gpt-5.4,True
main,40,bash,2026-06-30T05:41:44.503528+00:00,26011,707,0.075633,llm,107,openai/gpt-5.4,True
main,42,todo,2026-06-30T05:41:44.504200+00:00,26011,707,0.075633,llm,0,openai/gpt-5.4,True
main,44,search,2026-06-30T05:41:50.585520+00:00,27445,489,0.018347,llm,1,openai/gpt-5.4,True
main,46,search,2026-06-30T05:41:50.588112+00:00,27445,489,0.018347,llm,1,openai/gpt-5.4,True
