agent,seq,tool,ts,tokens_in,tokens_out,cost_usd,cost_kind,duration_ms,model,success
main,2,file_ops,2026-06-30T12:03:01.050199+00:00,21335,112,0.081575,llm,0,anthropic/claude-sonnet-4-6,True
main/research,2,file_ops,2026-06-30T12:03:13.964360+00:00,5836,179,0.024307,llm,417,anthropic/claude-sonnet-4-6,True
main/research,4,file_ops,2026-06-30T12:03:19.766607+00:00,29698,181,0.076999,llm,148,anthropic/claude-sonnet-4-6,True
main,6,task,2026-06-30T12:04:54.197104+00:00,21427,416,0.013319,llm,103649,anthropic/claude-sonnet-4-6,True
main,8,file_ops,2026-06-30T12:05:01.659289+00:00,23194,289,0.016715,llm,259,anthropic/claude-sonnet-4-6,True
main,10,file_ops,2026-06-30T12:05:11.336213+00:00,46996,133,0.085781,llm,73,anthropic/claude-sonnet-4-6,True
main,12,todo,2026-06-30T12:05:49.784505+00:00,38409,1849,0.085760,llm,1,anthropic/claude-sonnet-4-6,True
main,14,todo,2026-06-30T12:05:55.161896+00:00,36217,382,0.057179,llm,0,anthropic/claude-sonnet-4-6,True
main,16,service_search,2026-06-30T12:06:05.326286+00:00,37080,492,0.061418,llm,34,anthropic/claude-sonnet-4-6,True
main/research,2,web,2026-06-30T12:06:11.979823+00:00,5836,345,0.026796,llm,1885,anthropic/claude-sonnet-4-6,True
main/research,4,web,2026-06-30T12:06:13.969963+00:00,5836,345,0.026796,llm,1989,anthropic/claude-sonnet-4-6,True
main/research,6,web,2026-06-30T12:06:15.850446+00:00,5836,345,0.026796,llm,1879,anthropic/claude-sonnet-4-6,True
main/research,8,web,2026-06-30T12:06:28.547732+00:00,8904,539,0.019990,llm,4655,anthropic/claude-sonnet-4-6,True
main/research,10,web,2026-06-30T12:06:34.877567+00:00,8904,539,0.019990,llm,6328,anthropic/claude-sonnet-4-6,True
main/research,12,web,2026-06-30T12:06:40.254751+00:00,8904,539,0.019990,llm,5375,anthropic/claude-sonnet-4-6,True
main/research,14,web,2026-06-30T12:06:40.419442+00:00,8904,539,0.019990,llm,163,anthropic/claude-sonnet-4-6,False
main/research,16,web,2026-06-30T12:06:57.928916+00:00,11374,670,0.029365,llm,5088,anthropic/claude-sonnet-4-6,True
main/research,18,web,2026-06-30T12:07:00.022655+00:00,11374,670,0.029365,llm,2092,anthropic/claude-sonnet-4-6,True
main/research,20,web,2026-06-30T12:07:01.381404+00:00,11374,670,0.029365,llm,1357,anthropic/claude-sonnet-4-6,False
main/research,22,web,2026-06-30T12:07:11.207323+00:00,11374,670,0.029365,llm,9824,anthropic/claude-sonnet-4-6,True
main/research,24,web,2026-06-30T12:07:26.815738+00:00,14326,618,0.037441,llm,5398,anthropic/claude-sonnet-4-6,True
main/research,26,web,2026-06-30T12:07:30.232759+00:00,14326,618,0.037441,llm,3416,anthropic/claude-sonnet-4-6,True
main/research,28,web,2026-06-30T12:07:35.507839+00:00,14326,618,0.037441,llm,5274,anthropic/claude-sonnet-4-6,True
main/research,30,web,2026-06-30T12:07:37.064944+00:00,14326,618,0.037441,llm,1556,anthropic/claude-sonnet-4-6,True
main/research,32,web,2026-06-30T12:07:55.471920+00:00,17308,686,0.047407,llm,6547,anthropic/claude-sonnet-4-6,True
main/research,34,web,2026-06-30T12:07:57.043741+00:00,17308,686,0.047407,llm,1570,anthropic/claude-sonnet-4-6,True
main/research,36,web,2026-06-30T12:07:57.151035+00:00,17308,686,0.047407,llm,105,anthropic/claude-sonnet-4-6,False
main/research,38,web,2026-06-30T12:08:03.283426+00:00,17308,686,0.047407,llm,6131,anthropic/claude-sonnet-4-6,True
