======================================================================
Phase 3 RCWA | Circle pillars | NumBasis=35
Zone2 scan: Ly=[200, 225, 250, 275, 300, 325, 350, 375, 400]
Zone2 sep:  [0, 25, 50, 75, 100, 125, 150, 175, 200, 225, 250, 275, 300]
======================================================================

============================================================
Zone 1 | 35 configs | circle pillars | NumBasis=35
============================================================
  Ly= 300 sep=   0: mT=0.693 mR=0.205 minCE=0.324 score=0.01237
  Ly= 300 sep=  50: mT=0.496 mR=0.174 minCE=0.127 score=0.01531
  Ly= 300 sep= 100: mT=0.608 mR=0.198 minCE=0.235 score=0.00194
  Ly= 300 sep= 150: mT=0.708 mR=0.262 minCE=0.415 score=0.03421
  Ly= 300 sep= 200: mT=0.836 mR=0.256 minCE=0.665 score=0.19310
  Ly= 350 sep=   0: mT=0.393 mR=0.235 minCE=0.177 score=0.00535
  Ly= 350 sep=  50: mT=0.251 mR=0.157 minCE=0.047 score=0.04334
  Ly= 350 sep= 100: mT=0.639 mR=0.201 minCE=0.274 score=0.00344
  Ly= 350 sep= 150: mT=0.726 mR=0.257 minCE=0.437 score=0.04324
  Ly= 350 sep= 200: mT=0.836 mR=0.253 minCE=0.649 score=0.18029
  Ly= 400 sep=   0: mT=0.701 mR=0.309 minCE=0.295 score=0.00864
  Ly= 400 sep=  50: mT=0.599 mR=0.204 minCE=0.209 score=0.00322
  Ly= 400 sep= 100: mT=0.641 mR=0.210 minCE=0.279 score=0.00377
  Ly= 400 sep= 150: mT=0.735 mR=0.260 minCE=0.446 score=0.04758
  Ly= 400 sep= 200: mT=0.836 mR=0.256 minCE=0.639 score=0.17175
  Ly= 453 sep=   0: mT=0.754 mR=0.315 minCE=0.367 score=0.02492
  Ly= 453 sep=  50: mT=0.653 mR=0.221 minCE=0.261 score=0.00372
  Ly= 453 sep= 100: mT=0.667 mR=0.236 minCE=0.309 score=0.00761
  Ly= 453 sep= 150: mT=0.748 mR=0.267 minCE=0.460 score=0.05436
  Ly= 453 sep= 200: mT=0.842 mR=0.265 minCE=0.644 score=0.17698
  Ly= 500 sep=   0: mT=0.788 mR=0.334 minCE=0.418 score=0.04355
  Ly= 500 sep=  50: mT=0.691 mR=0.232 minCE=0.308 score=0.00911
  Ly= 500 sep= 100: mT=0.685 mR=0.238 minCE=0.331 score=0.01178
  Ly= 500 sep= 150: mT=0.751 mR=0.263 minCE=0.461 score=0.05482
  Ly= 500 sep= 200: mT=0.841 mR=0.261 minCE=0.634 score=0.16923
  Ly= 600 sep=   0: mT=0.769 mR=0.305 minCE=0.388 score=0.03203
  Ly= 600 sep=  50: mT=0.617 mR=0.182 minCE=0.212 score=0.00367
  Ly= 600 sep= 100: mT=0.653 mR=0.219 minCE=0.275 score=0.00418
  Ly= 600 sep= 150: mT=0.733 mR=0.259 minCE=0.416 score=0.03643
  Ly= 600 sep= 200: mT=0.824 mR=0.256 minCE=0.583 score=0.12977
  Ly= 700 sep=   0: mT=0.758 mR=0.224 minCE=0.354 score=0.02223
  Ly= 700 sep=  50: mT=0.498 mR=0.118 minCE=0.126 score=0.01541
  Ly= 700 sep= 100: mT=0.603 mR=0.177 minCE=0.242 score=0.00170
  Ly= 700 sep= 150: mT=0.695 mR=0.231 minCE=0.377 score=0.02237
  Ly= 700 sep= 200: mT=0.767 mR=0.227 minCE=0.482 score=0.06632

  Zone 1 BEST: Ly=700 nm sep=100 nm score=0.00170
  Zone-angles eta_T = ['0.685', '0.653', '0.586', '0.486']
  Zone-angles theta_d = ['41.2', '42.9', '44.8', '46.6']
  eta_R = ['0.056', '0.020', '0.041', '0.097', '0.159', '0.216', '0.268', '0.328', '0.408']
  Wrote zone1_results.json

============================================================
Zone 2 | 117 configs | circle pillars | NumBasis=35
============================================================
  Ly= 200 sep=   0: mT=0.342 mR=0.233 minCE=0.056 score=0.03806
  Ly= 200 sep=  25: mT=0.342 mR=0.233 minCE=0.056 score=0.03806
  Ly= 200 sep=  50: mT=0.149 mR=0.331 minCE=0.060 score=0.03949
  Ly= 200 sep=  75: mT=0.208 mR=0.304 minCE=0.081 score=0.03107
  Ly= 200 sep= 100: mT=0.139 mR=0.480 minCE=0.064 score=0.03791
  Ly= 200 sep= 125: mT=0.046 mR=0.690 minCE=0.025 score=0.05525
  Ly= 200 sep= 150: mT=0.001 mR=0.849 minCE=0.000 score=0.06847
  Ly= 200 sep= 175: mT=0.037 mR=0.899 minCE=0.029 score=0.05346
  Ly= 200 sep= 200: mT=0.157 mR=0.813 minCE=0.125 score=0.01714
  Ly= 200 sep= 225: mT=0.329 mR=0.633 minCE=0.235 score=0.00023
  Ly= 200 sep= 250: mT=0.501 mR=0.423 minCE=0.341 score=0.00912
  Ly= 200 sep= 275: mT=0.610 mR=0.281 minCE=0.428 score=0.03515
  Ly= 200 sep= 300: mT=0.510 mR=0.385 minCE=0.348 score=0.01076
  Ly= 225 sep=   0: mT=0.023 mR=0.257 minCE=0.001 score=0.06815
  Ly= 225 sep=  25: mT=0.038 mR=0.343 minCE=0.009 score=0.06368
  Ly= 225 sep=  50: mT=0.128 mR=0.243 minCE=0.040 score=0.04854
  Ly= 225 sep=  75: mT=0.125 mR=0.221 minCE=0.027 score=0.05444
  Ly= 225 sep= 100: mT=0.056 mR=0.398 minCE=0.013 score=0.06125
  Ly= 225 sep= 125: mT=0.005 mR=0.604 minCE=0.001 score=0.06813
  Ly= 225 sep= 150: mT=0.016 mR=0.752 minCE=0.007 score=0.06497
  Ly= 225 sep= 175: mT=0.099 mR=0.796 minCE=0.069 score=0.03591
  Ly= 225 sep= 200: mT=0.250 mR=0.719 minCE=0.181 score=0.00515
  Ly= 225 sep= 225: mT=0.446 mR=0.550 minCE=0.314 score=0.00454
  Ly= 225 sep= 250: mT=0.634 mR=0.339 minCE=0.457 score=0.04764
  Ly= 225 sep= 275: mT=0.734 mR=0.199 minCE=0.551 score=0.10080
  Ly= 225 sep= 300: mT=0.594 mR=0.291 minCE=0.416 score=0.03042
  Ly= 250 sep=   0: mT=0.012 mR=0.131 minCE=0.000 score=0.06868
  Ly= 250 sep=  25: mT=0.326 mR=0.632 minCE=0.246 score=0.00002
  Ly= 250 sep=  50: mT=0.147 mR=0.221 minCE=0.045 score=0.04610
  Ly= 250 sep=  75: mT=0.089 mR=0.170 minCE=0.011 score=0.06245
  Ly= 250 sep= 100: mT=0.021 mR=0.327 minCE=0.002 score=0.06758
  Ly= 250 sep= 125: mT=0.003 mR=0.523 minCE=0.000 score=0.06853
  Ly= 250 sep= 150: mT=0.048 mR=0.660 minCE=0.022 score=0.05704
  Ly= 250 sep= 175: mT=0.156 mR=0.700 minCE=0.099 score=0.02476
  Ly= 250 sep= 200: mT=0.323 mR=0.630 minCE=0.219 score=0.00104
  Ly= 250 sep= 225: mT=0.526 mR=0.472 minCE=0.365 score=0.01472
  Ly= 250 sep= 250: mT=0.717 mR=0.273 minCE=0.545 score=0.09625
  Ly= 250 sep= 275: mT=0.791 mR=0.156 minCE=0.613 score=0.14728
  Ly= 250 sep= 300: mT=0.574 mR=0.286 minCE=0.391 score=0.02209
  Ly= 275 sep=   0: mT=0.023 mR=0.087 minCE=0.000 score=0.06852
  Ly= 275 sep=  25: mT=0.035 mR=0.107 minCE=0.001 score=0.06827
  Ly= 275 sep=  50: mT=0.460 mR=0.302 minCE=0.278 score=0.00090
  Ly= 275 sep=  75: mT=0.113 mR=0.184 minCE=0.019 score=0.05854
  Ly= 275 sep= 100: mT=0.017 mR=0.308 minCE=0.001 score=0.06812
  Ly= 275 sep= 125: mT=0.007 mR=0.489 minCE=0.001 score=0.06823
  Ly= 275 sep= 150: mT=0.065 mR=0.617 minCE=0.029 score=0.05320
  Ly= 275 sep= 175: mT=0.182 mR=0.654 minCE=0.112 score=0.02075
  Ly= 275 sep= 200: mT=0.350 mR=0.589 minCE=0.233 score=0.00029
  Ly= 275 sep= 225: mT=0.553 mR=0.441 minCE=0.384 score=0.02006
  Ly= 275 sep= 250: mT=0.732 mR=0.259 minCE=0.561 score=0.10694
  Ly= 275 sep= 275: mT=0.719 mR=0.194 minCE=0.509 score=0.07654
  Ly= 275 sep= 300: mT=0.580 mR=0.094 minCE=0.337 score=0.00853
  Ly= 300 sep=   0: mT=0.099 mR=0.083 minCE=0.022 score=0.05723
  Ly= 300 sep=  25: mT=0.027 mR=0.150 minCE=0.002 score=0.06726
  Ly= 300 sep=  50: mT=0.146 mR=0.071 minCE=0.016 score=0.05942
  Ly= 300 sep=  75: mT=0.211 mR=0.153 minCE=0.051 score=0.04320
  Ly= 300 sep= 100: mT=0.178 mR=0.395 minCE=0.081 score=0.03136
  Ly= 300 sep= 125: mT=0.002 mR=0.499 minCE=0.000 score=0.06869
  Ly= 300 sep= 150: mT=0.057 mR=0.611 minCE=0.026 score=0.05477
  Ly= 300 sep= 175: mT=0.176 mR=0.644 minCE=0.110 score=0.02120
  Ly= 300 sep= 200: mT=0.336 mR=0.586 minCE=0.229 score=0.00045
  Ly= 300 sep= 225: mT=0.498 mR=0.461 minCE=0.349 score=0.01084
  Ly= 300 sep= 250: mT=0.486 mR=0.407 minCE=0.336 score=0.00834
  Ly= 300 sep= 275: mT=0.796 mR=0.092 minCE=0.609 score=0.14365
  Ly= 300 sep= 300: mT=0.655 mR=0.091 minCE=0.450 score=0.04403
  Ly= 325 sep=   0: mT=0.372 mR=0.308 minCE=0.041 score=0.04357
  Ly= 325 sep=  25: mT=0.338 mR=0.470 minCE=0.061 score=0.03633
  Ly= 325 sep=  50: mT=0.380 mR=0.301 minCE=0.085 score=0.02756
  Ly= 325 sep=  75: mT=0.148 mR=0.103 minCE=0.011 score=0.06173
  Ly= 325 sep= 100: mT=0.019 mR=0.255 minCE=0.002 score=0.06771
  Ly= 325 sep= 125: mT=0.040 mR=0.435 minCE=0.008 score=0.06413
  Ly= 325 sep= 150: mT=0.108 mR=0.553 minCE=0.046 score=0.04534
  Ly= 325 sep= 175: mT=0.227 mR=0.586 minCE=0.129 score=0.01583
  Ly= 325 sep= 200: mT=0.399 mR=0.528 minCE=0.250 score=0.00004
  Ly= 325 sep= 225: mT=0.614 mR=0.390 minCE=0.411 score=0.02981
  Ly= 325 sep= 250: mT=0.806 mR=0.202 minCE=0.614 score=0.14983
