agent,seq,tool,ts,tokens_in,tokens_out,cache_read,cache_create,cost_usd,cost_kind,duration_ms,model,success
main,1,_thinking,2026-07-01T02:55:59.766Z,2,336,11280,6864,0.034170,llm,,claude-sonnet-4-6,
main,2,_text,2026-07-01T02:56:00.141Z,2,336,11280,6864,0.034170,llm,,claude-sonnet-4-6,
main,3,Bash,2026-07-01T02:56:02.051Z,2,336,11280,6864,0.034170,llm,,claude-sonnet-4-6,
main,4,Bash,2026-07-01T02:56:02.972Z,2,336,11280,6864,0.034170,llm,,claude-sonnet-4-6,
main,5,Bash,2026-07-01T02:56:11.244Z,70,294,18144,370,0.011451,llm,,claude-sonnet-4-6,
main,6,Bash,2026-07-01T02:56:12.016Z,70,294,18144,370,0.011451,llm,,claude-sonnet-4-6,
main,7,Bash,2026-07-01T02:56:15.543Z,1,272,18514,1002,0.013395,llm,,claude-sonnet-4-6,
main,8,Bash,2026-07-01T02:56:16.349Z,1,272,18514,1002,0.013395,llm,,claude-sonnet-4-6,
main,9,_thinking,2026-07-01T02:56:21.270Z,1,429,19516,944,0.015833,llm,,claude-sonnet-4-6,
main,10,_text,2026-07-01T02:56:22.090Z,1,429,19516,944,0.015833,llm,,claude-sonnet-4-6,
main,11,Bash,2026-07-01T02:56:23.833Z,1,429,19516,944,0.015833,llm,,claude-sonnet-4-6,
main,12,Bash,2026-07-01T02:56:29.431Z,1,87,20460,481,0.009250,llm,,claude-sonnet-4-6,
main,13,Bash,2026-07-01T02:56:34.341Z,1,93,20941,240,0.008580,llm,,claude-sonnet-4-6,
main,14,_text,2026-07-01T02:56:37.349Z,1,5731,21181,113,0.092746,llm,,claude-sonnet-4-6,
main,15,Write,2026-07-01T02:57:41.212Z,1,5731,21181,113,0.092746,llm,,claude-sonnet-4-6,
main,16,Bash,2026-07-01T02:57:45.041Z,1,168,21294,5815,0.030717,llm,,claude-sonnet-4-6,
main,17,_thinking,2026-07-01T02:57:58.213Z,1,376,27109,736,0.016536,llm,,claude-sonnet-4-6,
main,18,_text,2026-07-01T02:57:58.278Z,1,376,27109,736,0.016536,llm,,claude-sonnet-4-6,
main,19,Bash,2026-07-01T02:57:59.066Z,1,376,27109,736,0.016536,llm,,claude-sonnet-4-6,
main,20,_text,2026-07-01T02:58:20.464Z,1,236,27845,448,0.013577,llm,,claude-sonnet-4-6,
main,21,Edit,2026-07-01T02:58:21.735Z,1,236,27845,448,0.013577,llm,,claude-sonnet-4-6,
main,22,Edit,2026-07-01T02:58:36.924Z,1,998,28293,340,0.024736,llm,,claude-sonnet-4-6,
main,23,Bash,2026-07-01T02:58:40.120Z,1,170,28633,1102,0.015275,llm,,claude-sonnet-4-6,
main,24,_text,2026-07-01T02:58:50.367Z,1,93,29735,833,0.013442,llm,,claude-sonnet-4-6,
main,25,Bash,2026-07-01T02:58:50.485Z,1,93,29735,833,0.013442,llm,,claude-sonnet-4-6,
main,26,_text,2026-07-01T02:59:03.679Z,1,502,30568,301,0.017832,llm,,claude-sonnet-4-6,
claude_internal,,_internal_claude-haiku-4-5-20251001,,633,20,0,0,0.000733,llm,,claude-haiku-4-5-20251001,
