agent,seq,tool,ts,tokens_in,tokens_out,cost_usd,cost_kind,duration_ms,model,success
main,2,todo,2026-06-30T13:56:19.688888+00:00,21489,362,0.085790,llm,0,anthropic/claude-sonnet-4-6,True
main,4,todo,2026-06-30T13:56:23.282722+00:00,22191,252,0.013137,llm,1,anthropic/claude-sonnet-4-6,True
main,6,bash,2026-06-30T13:56:30.467636+00:00,22875,333,0.016404,llm,53,anthropic/claude-sonnet-4-6,True
main,8,service_search,2026-06-30T13:56:32.792718+00:00,23895,55,0.015294,llm,71,anthropic/claude-sonnet-4-6,True
main,10,todo,2026-06-30T13:56:42.149707+00:00,24571,395,0.022422,llm,1,anthropic/claude-sonnet-4-6,True
main/compute,2,file_ops,2026-06-30T13:57:13.211553+00:00,27903,224,0.107994,llm,3,anthropic/claude-sonnet-4-6,True
main/compute,4,file_ops,2026-06-30T13:57:15.895053+00:00,28062,137,0.010911,llm,8,anthropic/claude-sonnet-4-6,True
main/compute,6,file_ops,2026-06-30T13:57:58.089974+00:00,28261,3394,0.060363,llm,6,anthropic/claude-sonnet-4-6,True
main/compute,8,bash,2026-06-30T13:59:05.870106+00:00,31701,296,0.024213,llm,61889,anthropic/claude-sonnet-4-6,True
main/compute,10,bash,2026-06-30T13:59:10.908719+00:00,32220,285,0.025605,llm,57,anthropic/claude-sonnet-4-6,True
main/compute,12,bash,2026-06-30T13:59:14.963933+00:00,33570,140,0.027480,llm,62,anthropic/claude-sonnet-4-6,True
main/compute,15,bash,2026-06-30T13:59:48.864685+00:00,37553,773,0.055958,llm,58,anthropic/claude-sonnet-4-6,True
main/compute,17,compute_run,2026-06-30T14:00:03.907005+00:00,38105,888,0.026984,llm,11,anthropic/claude-sonnet-4-6,False
main/compute,19,bash,2026-06-30T14:00:11.194194+00:00,38653,264,0.019268,llm,543,anthropic/claude-sonnet-4-6,True
main/compute,21,bash,2026-06-30T14:00:15.128606+00:00,38839,97,0.017321,llm,1475,anthropic/claude-sonnet-4-6,True
main/compute,23,file_ops,2026-06-30T14:01:20.026462+00:00,39052,4302,0.081035,llm,6,anthropic/claude-sonnet-4-6,True
main/compute,25,compute_run,2026-06-30T14:01:26.927202+00:00,42245,320,0.030884,llm,76,anthropic/claude-sonnet-4-6,False
main/compute,27,compute_run,2026-06-30T14:02:44.247881+00:00,42697,419,0.033725,llm,69981,anthropic/claude-sonnet-4-6,True
main/compute,29,compute_cluster,2026-06-30T14:19:30.482562+00:00,43360,143,0.031574,llm,301761,anthropic/claude-sonnet-4-6,True
main/compute,31,bash,2026-06-30T14:19:36.058546+00:00,43614,80,0.160001,llm,2322,anthropic/claude-sonnet-4-6,True
main/compute,33,bash,2026-06-30T14:19:44.795347+00:00,43789,80,0.031916,llm,6265,anthropic/claude-sonnet-4-6,True
main/compute,35,bash,2026-06-30T14:19:50.533574+00:00,44038,115,0.033188,llm,2842,anthropic/claude-sonnet-4-6,True
main/compute,37,bash,2026-06-30T14:19:54.181903+00:00,44217,82,0.033230,llm,1067,anthropic/claude-sonnet-4-6,True
main/compute,39,bash,2026-06-30T14:20:00.621285+00:00,44313,121,0.034103,llm,3562,anthropic/claude-sonnet-4-6,True
main/compute,41,bash,2026-06-30T14:20:08.523458+00:00,44554,145,0.035186,llm,4195,anthropic/claude-sonnet-4-6,True
main/compute,43,bash,2026-06-30T14:20:26.924728+00:00,44837,177,0.036515,llm,10618,anthropic/claude-sonnet-4-6,True
main/compute,45,bash,2026-06-30T14:20:34.208959+00:00,45171,86,0.036152,llm,3987,anthropic/claude-sonnet-4-6,True
main/compute,47,bash,2026-06-30T14:20:38.149850+00:00,45740,79,0.037754,llm,1585,anthropic/claude-sonnet-4-6,True
main/compute,49,bash,2026-06-30T14:20:43.980417+00:00,45897,110,0.038690,llm,2576,anthropic/claude-sonnet-4-6,True
main/compute,51,bash,2026-06-30T14:21:11.704819+00:00,46021,105,0.038987,llm,3057,anthropic/claude-sonnet-4-6,True
main/compute,53,bash,2026-06-30T14:22:23.437303+00:00,46140,395,0.043694,llm,24578,anthropic/claude-sonnet-4-6,True
main/compute,55,bash,2026-06-30T14:22:37.769929+00:00,46866,242,0.043577,llm,9381,anthropic/claude-sonnet-4-6,True
main,18,task,2026-06-30T14:23:01.762393+00:00,25209,1228,0.036831,llm,791478,anthropic/claude-sonnet-4-6,True
main,20,materialize_workspace,2026-06-30T14:23:10.133636+00:00,27136,207,0.100406,llm,2266,anthropic/claude-sonnet-4-6,True
main,22,bash,2026-06-30T14:23:14.715929+00:00,27796,288,0.030492,llm,55,anthropic/claude-sonnet-4-6,True
main,24,todo,2026-06-30T14:23:21.765746+00:00,28511,260,0.032217,llm,11,anthropic/claude-sonnet-4-6,True
main,26,todo,2026-06-30T14:23:29.351968+00:00,29165,409,0.036414,llm,0,anthropic/claude-sonnet-4-6,True
