# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
0              	U              	0.0000000e+00	(2.5225794e+00 1.7151207e-01 6.4900000e+00)	1.7320508e-01	(7.1919808e-02 6.5388253e-02 7.7903065e-02)
0              	T              	2.9145000e+02	(7.1919808e-02 6.5388253e-02 7.7903065e-02)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
0              	p_rgh          	-5.4674360e-03	(4.2181081e+00 -4.5983565e-04 1.7515783e+00)	3.8047931e+01	(5.4627805e+00 3.2000000e+00 1.8900000e+00)
1              	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	5.7015880e+00	(6.0507576e+00 3.1714875e+00 6.5451933e+00)
1              	T              	2.9138967e+02	(6.0507576e+00 3.1714875e+00 6.5451933e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
1              	p_rgh          	-2.8495614e+01	(1.2101070e+00 2.5500000e+00 1.0024297e-01)	3.0825334e+01	(3.5612791e+00 3.7810376e-01 4.0868378e+00)
2              	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	3.4022796e+00	(6.4501270e-01 2.5818364e+00 3.3859270e-02)
2              	T              	2.9136453e+02	(6.4335082e+00 3.3772561e-01 6.9262358e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
2              	p_rgh          	-5.0603280e+01	(2.8696789e+00 2.5500000e+00 6.6048952e+00)	0.0000000e+00	(6.0506286e+00 3.2000000e+00 6.5450913e+00)
3              	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	4.1664428e+00	(3.4816139e+00 2.5843729e+00 3.4619028e-02)
3              	T              	2.9137264e+02	(6.4340366e+00 6.1718926e-01 6.9262067e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
3              	p_rgh          	-3.8522987e+01	(2.8696800e+00 2.5500000e+00 6.5285177e+00)	0.0000000e+00	(6.0506286e+00 3.2000000e+00 6.5450913e+00)
4              	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	4.2931353e+00	(3.4816139e+00 2.5843729e+00 3.4619028e-02)
4              	T              	2.9137759e+02	(6.4341117e+00 7.5563520e-01 6.9262256e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
4              	p_rgh          	-3.3247423e+01	(3.4351693e+00 2.5499864e+00 6.5275218e+00)	0.0000000e+00	(6.0506286e+00 3.2000000e+00 6.5450913e+00)
5              	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	4.4222685e+00	(3.4816139e+00 2.5843729e+00 3.4619028e-02)
5              	T              	2.9138255e+02	(6.4341344e+00 8.9354455e-01 6.9262464e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
5              	p_rgh          	-2.9378900e+01	(3.4351693e+00 2.5499864e+00 6.5275218e+00)	2.7261265e+00	(2.5934156e+00 1.4085369e+00 4.0944488e+00)
6              	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	4.5865351e+00	(3.4816139e+00 2.5843729e+00 3.4619028e-02)
6              	T              	2.9138665e+02	(6.4341377e+00 1.0311912e+00 6.9262610e+00)	3.0281000e+02	(1.6633496e-01 1.6137822e-01 2.9200000e+00)
6              	p_rgh          	-2.6447203e+01	(3.4351693e+00 2.5499864e+00 6.5275218e+00)	1.5994558e+00	(3.4234691e+00 1.7112090e-01 4.0899253e+00)
7              	U              	0.0000000e+00	(4.4939064e-01 9.8563036e-02 1.7500000e+00)	4.7312694e+00	(3.4816139e+00 2.5843729e+00 3.4619028e-02)
