agent,seq,tool,ts,tokens_in,tokens_out,cost_usd,cost_kind,duration_ms,model,success
main,2,todo,2026-06-30T18:48:51.239559+00:00,21372,505,0.087584,llm,2,anthropic/claude-sonnet-4-6,True
main,4,todo,2026-06-30T18:48:54.424397+00:00,22492,216,0.013500,llm,0,anthropic/claude-sonnet-4-6,True
main,6,file_ops,2026-06-30T18:48:58.684847+00:00,22961,204,0.014727,llm,476,anthropic/claude-sonnet-4-6,True
main,8,file_ops,2026-06-30T18:48:58.690546+00:00,22961,204,0.014727,llm,4,anthropic/claude-sonnet-4-6,True
main,10,service_search,2026-06-30T18:48:58.719177+00:00,22961,204,0.014727,llm,28,anthropic/claude-sonnet-4-6,True
main,12,file_ops,2026-06-30T18:49:28.772342+00:00,54038,1345,0.125073,llm,2,anthropic/claude-sonnet-4-6,True
main,14,file_ops,2026-06-30T18:49:28.773867+00:00,54038,1345,0.125073,llm,0,anthropic/claude-sonnet-4-6,True
main,16,file_ops,2026-06-30T18:49:28.774863+00:00,54038,1345,0.125073,llm,0,anthropic/claude-sonnet-4-6,True
main,18,file_ops,2026-06-30T18:49:54.998052+00:00,44157,1253,0.094050,llm,1,anthropic/claude-sonnet-4-6,True
main,20,file_ops,2026-06-30T18:49:54.998952+00:00,44157,1253,0.094050,llm,0,anthropic/claude-sonnet-4-6,True
main,22,file_ops,2026-06-30T18:49:54.999667+00:00,44157,1253,0.094050,llm,0,anthropic/claude-sonnet-4-6,True
main,24,file_ops,2026-06-30T18:50:28.350278+00:00,49321,1679,0.115932,llm,1,anthropic/claude-sonnet-4-6,True
main,26,file_ops,2026-06-30T18:50:28.352798+00:00,49321,1679,0.115932,llm,1,anthropic/claude-sonnet-4-6,True
main,28,file_ops,2026-06-30T18:50:28.354405+00:00,49321,1679,0.115932,llm,0,anthropic/claude-sonnet-4-6,True
main,30,todo,2026-06-30T18:50:54.769670+00:00,52785,1427,0.122544,llm,1,anthropic/claude-sonnet-4-6,True
main/compute,2,file_ops,2026-06-30T18:51:28.755379+00:00,27969,244,0.108542,llm,6,anthropic/claude-sonnet-4-6,True
main/compute,4,service_search,2026-06-30T18:51:28.797715+00:00,27969,244,0.108542,llm,41,anthropic/claude-sonnet-4-6,True
main/compute,6,file_ops,2026-06-30T18:51:32.604974+00:00,29662,166,0.015965,llm,3,anthropic/claude-sonnet-4-6,True
main/compute,8,file_ops,2026-06-30T18:51:32.607532+00:00,29662,166,0.015965,llm,1,anthropic/claude-sonnet-4-6,True
main/compute,10,file_ops,2026-06-30T18:51:39.120407+00:00,32606,292,0.026687,llm,4,anthropic/claude-sonnet-4-6,True
main/compute,12,file_ops,2026-06-30T18:51:39.124310+00:00,32606,292,0.026687,llm,2,anthropic/claude-sonnet-4-6,True
main/compute,14,compute_run,2026-06-30T18:52:58.772654+00:00,37089,540,0.043856,llm,66793,anthropic/claude-sonnet-4-6,True
main/compute,16,compute_cluster,2026-06-30T18:54:54.622926+00:00,37877,138,0.040190,llm,112049,anthropic/claude-sonnet-4-6,True
main/compute,18,compute_exec,2026-06-30T18:55:01.041250+00:00,38218,259,0.043028,llm,2,anthropic/claude-sonnet-4-6,False
main/compute,20,compute_exec,2026-06-30T18:55:24.817531+00:00,38625,242,0.043994,llm,19339,anthropic/claude-sonnet-4-6,True
main/compute,22,compute_cluster,2026-06-30T18:56:22.417129+00:00,39014,126,0.043421,llm,54714,anthropic/claude-sonnet-4-6,True
main/compute,24,compute_cluster,2026-06-30T18:56:54.990015+00:00,39219,124,0.044006,llm,29725,anthropic/claude-sonnet-4-6,True
main/compute,26,compute_exec,2026-06-30T18:57:50.636758+00:00,39797,807,0.055985,llm,38584,anthropic/claude-sonnet-4-6,True
main/compute,28,compute_cluster,2026-06-30T18:58:53.334486+00:00,40205,126,0.046994,llm,58419,anthropic/claude-sonnet-4-6,True
main/compute,30,compute_cluster,2026-06-30T18:59:12.047759+00:00,40410,124,0.047579,llm,15414,anthropic/claude-sonnet-4-6,True
main/compute,32,compute_exec,2026-06-30T18:59:18.965497+00:00,41153,311,0.052613,llm,3,anthropic/claude-sonnet-4-6,False
main/compute,34,compute_exec,2026-06-30T19:00:37.758012+00:00,41704,1759,0.075986,llm,46783,anthropic/claude-sonnet-4-6,True
main/compute,36,compute_cluster,2026-06-30T19:01:37.763407+00:00,42161,126,0.052862,llm,57065,anthropic/claude-sonnet-4-6,True
main/compute,38,compute_cluster,2026-06-30T19:01:59.474329+00:00,42366,124,0.053447,llm,18417,anthropic/claude-sonnet-4-6,True
main/compute,40,compute_exec,2026-06-30T19:02:51.614513+00:00,43245,591,0.063089,llm,36617,anthropic/claude-sonnet-4-6,True
main/compute,42,monitor,2026-06-30T19:02:55.904414+00:00,43772,156,0.058145,llm,19,anthropic/claude-sonnet-4-6,True
main/compute,44,compute_cluster,2026-06-30T19:04:39.407281+00:00,44169,224,0.060356,llm,98626,anthropic/claude-sonnet-4-6,True
main/compute,46,monitor_stop,2026-06-30T19:04:44.419151+00:00,45226,169,0.090286,llm,3,anthropic/claude-sonnet-4-6,True
main/compute,48,compute_exec,2026-06-30T19:05:32.021352+00:00,46296,418,0.023858,llm,38559,anthropic/claude-sonnet-4-6,True
