T,V
291.4504,0.002046594
291.4505,0.002380603
291.4505,0.002532634
291.4504,0.002345496
291.4505,0.002423179
291.4505,0.002773143
291.4506,0.002595769
291.4504,0.002488677
291.4504,0.002673918
291.4504,0.002347776
291.4505,0.002177262
291.4505,0.002849585
291.4506,0.002702202
291.4505,0.002776881
291.4506,0.002908404
291.4507,0.002595616
291.4504,0.002457445
291.4504,0.00267296
291.4504,0.002663191
291.4504,0.002354441
291.4506,0.0028349
291.4506,0.002635147
291.4505,0.002851079
291.4506,0.003157233
291.4507,0.002689735
291.4505,0.002765518
291.4506,0.002984058
291.4507,0.002882808
291.4507,0.002577941
291.4504,0.00243186
291.4504,0.00265774
291.4504,0.002661642
291.4504,0.002654085
291.4503,0.002358332
291.4506,0.002716436
291.4506,0.003379035
291.4506,0.002544247
291.4505,0.002837284
291.4506,0.003228727
291.4507,0.003077261
291.4508,0.002638885
291.4505,0.002749186
291.4506,0.002988376
291.4507,0.00297314
291.4508,0.002829881
291.4507,0.002555246
291.4504,0.002416331
291.4504,0.002639875
291.4504,0.002652127
291.4504,0.002644505
291.4503,0.002643264
291.4503,0.002361459
291.4505,0.002683027
291.4506,0.003202905
291.4506,0.002935509
291.4506,0.003035459
291.4505,0.002820552
291.4506,0.003222482
291.4507,0.003153684
291.4508,0.002951742
291.4508,0.002552257
291.4504,0.002736677
291.4505,0.002975896
291.4506,0.002989229
291.4507,0.002899565
291.4507,0.002761785
291.4504,0.002547917
291.4504,0.00240911
291.4504,0.002627072
291.4504,0.002638168
291.4503,0.002634177
291.4503,0.002624798
291.4503,0.002638116
291.4502,0.002363454
291.4505,0.002658936
291.4506,0.003164631
291.4506,0.002778813
291.4507,0.003358862
291.4506,0.0001542588
291.4506,0.002379643
291.4506,0.000185952
291.4506,0.0002599629
291.4507,0.0003015912
291.4505,0.002808261
291.4505,0.003207642
291.4507,0.003155286
291.4508,0.003034619
291.4508,0.002736031
291.4506,0.002537871
291.4504,0.002729743
291.4505,0.002964123
291.4506,0.002982635
291.4507,0.002912779
291.4506,0.002798538
291.4505,0.002735154
291.4502,0.002547009
291.4504,0.002406532
291.4504,0.002620289
291.4504,0.002627249
291.4503,0.002620862
291.4503,0.002611557
291.4503,0.002613939
291.4503,0.002636107
291.4503,0.002364985
291.4505,0.002644388
291.4505,0.003143951
291.4506,0.002748822
291.4506,0.003275
291.4507,0.0001780287
291.4507,0.002432591
291.4507,0.0001730747
291.4507,0.0003083492
291.4507,0.000309218
291.4505,0.002462135
291.4505,0.002519833
291.4507,0.0002670076
291.4506,0.0003300357
291.4504,0.002801585
291.4505,0.003195883
291.4506,0.003146973
291.4507,0.003046266
291.4507,0.002785025
291.4507,0.002692875
291.4502,0.002537618
291.4504,0.002726733
291.4505,0.002956975
291.4505,0.002973668
291.4506,0.002907624
291.4506,0.002800675
291.4505,0.002754269
291.4503,0.002727148
291.4502,0.002547915
291.4504,0.002405908
291.4503,0.002617471
291.4503,0.002621123
291.4503,0.002610518
291.4503,0.002597586
291.4503,0.002598139
291.4503,0.002608962
291.4503,0.002634768
291.4503,0.002367738
291.4505,0.002637531
291.4505,0.003132198
291.4505,0.002737497
291.4506,0.003248195
291.4506,0.0001720183
291.4506,0.002425413
291.4506,0.0001710218
291.4507,0.0003103174
291.4506,0.0003094253
291.4505,0.002630825
291.4506,0.002629984
291.4505,0.0003522762
291.4505,0.0003374007
291.4501,0.002607695
291.4502,0.002451506
291.4502,0.002530018
291.4506,0.0002474106
291.45,0.0003065775
291.4504,0.002798772
291.4505,0.00318906
291.4505,0.003139338
291.4507,0.003043274
291.4507,0.002799924
291.4506,0.00272068
291.4504,0.002687656
291.4501,0.002539757
291.4504,0.002725728
291.4504,0.002953609
291.4505,0.002967624
291.4506,0.00290002
291.4506,0.002793506
291.4505,0.00274809
291.4503,0.002738341
291.4502,0.002725688
291.4503,0.002550006
291.4504,0.002405872
291.4503,0.002616544
291.4503,0.002618429
291.4503,0.002604674
291.4503,0.002587179
291.4503,0.002583179
291.4503,0.002591486
291.4503,0.002606296
291.4503,0.002633248
291.4503,0.002374328
291.4504,0.002635057
291.4504,0.003126412
291.4505,0.002732186
291.4505,0.003237806
291.4506,0.0001709386
291.4506,0.002426223
291.4506,0.0001706838
291.4506,0.0003096741
291.4506,0.0003090102
291.4505,0.002644674
291.4506,0.002620601
291.4505,0.0003368269
291.4505,0.0003364501
291.45,0.0002876151
291.4503,0.002524469
291.45,0.0003104468
291.4501,0.0002837685
291.4501,0.0003091136
291.4504,0.002656922
291.45,0.0003436577
291.45,0.000340455
291.45,0.002609517
291.45,0.002439237
291.45,0.0003079724
291.45,0.000306533
291.4502,0.0002450355
291.45,0.0002870163
291.4501,0.002527289
291.4501,0.002535679
291.4504,0.00279801
291.4504,0.003185919
291.4505,0.003134533
291.4506,0.00303838
291.4507,0.002799858
291.4506,0.00272695
291.4505,0.002708332
291.4502,0.002690002
291.4502,0.002542593
291.4504,0.002725562
291.4504,0.002952365
291.4504,0.002964558
291.4505,0.002894692
291.4505,0.00278578
291.4505,0.00273796
291.4504,0.002726964
291.4503,0.00273371
291.4502,0.002727541
291.4503,0.00255562
291.4503,0.002405848
291.4503,0.002616298
291.4503,0.002617448
291.4503,0.002602073
291.4503,0.002581355
291.4503,0.002572416
291.4503,0.002575713
291.4503,0.002587985
291.4503,0.00260436
291.4503,0.002633124
291.4503,0.002325151
291.4504,0.002634729
291.4504,0.003124085
291.4504,0.002729621
291.4505,0.003233373
291.4505,0.0001707651
291.4505,0.002426248
291.4505,0.0001706835
291.4506,0.0003092439
291.4505,0.0003089174
291.4504,0.002657056
